S. No.,text,task_1
133,আজ জানলাম মাননীয়া মুখ্যমন্ত্রী ল্যাংচা মিহিদানা করেছেন.........কোনদিন আবার বলে বসবেন হরপ্পা মহেঞ্জোদারো এর পঞ্চায়েত প্ৰধান ছিলেন তিনি,NOT
134,যখন এরা পদক নিয়ে দেশে ফেরে তখন দাদাবাবু পাশে নিয়ে ছবি তোলার সময় বের করতে পারেন কিন্তু এদের অভিযোগ শোনার সময় পান না।,NOT
135,ঠিক বলেছেন যোগ্য লোককে কেনো দেবেন চাকরি?? বুঝুক মানুষ কাদেরকে সরিয়ে কাদের এনেছে।,NOT
136,এবারে ঘুমভেঙ্গেছে পরজীবিদের। এবং ভাঙ্গা মাত্রই বাংলাদেশের জন্য প্রাণ গদগদ। এদের BOYCOTT করুন।,HOF
137,"বি এস এফ এর নামে দোষ না দিয়ে বুদ্ধি জীবির দল আপনারা সবাই মিলে গিয়ে বডারে পাহারাদার হয়ে যান,দেখি কার কত দম আছে ।মুখে সবাই বড় বড় কথা বলবে ।লজ্জা করা উচিত্ আমরা ভারত বাসি বলতে ।ভারত মাতা কি জয় ।জয় শ্রীরাম ।",HOF
138,"আশেপাশে যারা বসে থাকেন, ভাবি তেনাদের কত ধৈর্য!!!!",NOT
139,"বা মাননীয় বা এক দম ঠিক,, ফুল ফুটুক না ফুটুক আজ বসন্ত, শিক্ষা থাক না থাক, চাকরি তুমি পাবেই,,,",NOT
140,বৈশাখী যদি গতরটা একটু কমায় তখন আরও অনেক ভালো নাচতে পারতো এটা নাচ নয় লাচ,HOF
141,উফ! সার এর মুখের হাসি খান দেখছ..!! ইশ রে! মাইয়া রে কত্তো ই না বালুবাসে 🥹,HOF
142,খুব বেড়েছিল।। এটাই পরিণাম....,HOF
143,"উনাকে একটা বাংলার বোতল দেখানো হোক,, কারণ দেখে মনে হচ্ছে উনি একজন রাজ্যের অর্থনীতি চাঙ্গা করার সৈনিক,,, 🤣🤣🤣🤣",HOF
144,"আগেকার গুরুজনরা বলতেন ""বেশি মাখা-মাখি করতে যেওনা বাপু""। এখন বুজলাম কেন বলতেন.....",NOT
145,তার মানে উনি তো বাংলা ভাগ মেনে নিলেন,NOT
146,অশিক্ষিত যদি শিক্ষামন্ত্রী করা এটাই হয়,HOF
147,এই তো অপর্ণা মাসী বেরিয়েছে.. এতদিন আন্ডারগ্রাউন্ড এ ছিলেন... অনেকদিন পর একটা ভিত্তিহীন ফালতু ইস্যু পেয়েছেন.. এটাকে এবার টেনে লম্বা করতে হবে.. চালিয়ে যান..,HOF
148,সার্থকনামা.. পরিণত চিন্তাভাবনা.. বলিষ্ঠ বক্তব্য.. খুব ভালো বক্তা.. অনেক শুভেচ্ছা আর ভালবাসা প্রেরণার জন্য।,NOT
